#Number,Rarity Rank,Rarity Percent
2355,205,0.00000084849108025768%
4032,206,0.00000084860617867371%
1780,207,0.00000084972070107366%
4577,208,0.00000085068593549231%
585,209,0.00000085659904389360%
2941,210,0.00000085997939426887%
2370,211,0.00000086091813515070%
3390,212,0.00000087083862804225%
4083,213,0.00000087132611526690%
4707,214,0.00000087629469275207%
4324,215,0.00000088216587489475%
3077,216,0.00000088348402375301%
3299,217,0.00000088597815102634%
3596,218,0.00000088775854580987%
1730,219,0.00000088949554122706%
3031,220,0.00000089069296607810%
31,221,0.00000089378588317408%
2463,222,0.00000089567589811714%
3728,223,0.00000089731983396153%
3620,224,0.00000089986851069457%
2063,225,0.00000090256376368601%
3160,226,0.00000090270625792496%
839,227,0.00000090384351846518%
3896,228,0.00000090719782884581%
8,229,0.00000090778602083487%
4340,230,0.00000091134169640997%
2852,231,0.00000091478339003025%
556,232,0.00000092148542056499%
3817,233,0.00000092184354829770%
1528,234,0.00000092871540384394%
2106,235,0.00000093833726150766%
54,236,0.00000094049545604121%
4527,237,0.00000094353735819213%
1831,238,0.00000094608121271055%
203,239,0.00000094722124953035%
4722,240,0.00000094841018039790%
3576,241,0.00000095196483772781%
1376,242,0.00000095220228185081%
3148,243,0.00000095353057647117%
3672,244,0.00000095417867560248%
4657,245,0.00000095555691932430%
975,246,0.00000096006651219082%
1852,247,0.00000096333984166586%
1520,248,0.00000096370339810873%
449,249,0.00000096806843416244%
3651,250,0.00000096809960336891%
3516,251,0.00000097284887581822%
4561,252,0.00000097972378628631%
3058,253,0.00000098050557956043%
4039,254,0.00000098285493318024%
3709,255,0.00000098405551128906%
770,256,0.00000098750721187802%
1750,257,0.00000098795752421467%
2811,258,0.00000098821724605928%
684,259,0.00000098870437602760%
760,260,0.00000099373923274485%
4259,261,0.00000099625852217858%
3427,262,0.00000099787385000718%
1404,263,0.00000099825916012772%
1915,264,0.00000099860538886706%
3389,265,0.00000100110660617647%
3933,266,0.00000101573098276126%
3567,267,0.00000101657160253711%
4558,268,0.00000102428391224329%
138,269,0.00000102497406924220%
502,270,0.00000102519779896084%
4713,271,0.00000102557464593725%
2975,272,0.00000102775275786676%
3785,273,0.00000102792562227684%
4228,274,0.00000103193385319631%
4075,275,0.00000103288847682909%
2607,276,0.00000104120053786069%
2480,277,0.00000104697205500573%
4920,278,0.00000104756135135514%
2760,279,0.00000104780021337479%
3139,280,0.00000104818510868832%
1612,281,0.00000105104457745580%
2883,282,0.00000105322223590398%
1205,283,0.00000105363020400538%
3582,284,0.00000105394782655922%
3092,285,0.00000105844491556165%
3722,286,0.00000106380913464823%
1699,287,0.00000106747955943925%
3681,288,0.00000106995780199648%
211,289,0.00000107059786860787%
1798,290,0.00000107197729208581%
1718,291,0.00000107572869814212%
1160,292,0.00000107762307327549%
4637,293,0.00000108138852836464%
4908,294,0.00000108172064699024%
4378,295,0.00000108346353870122%
4070,296,0.00000108365789925547%
4251,297,0.00000108416842254684%
1727,298,0.00000108471547203811%
3430,299,0.00000108569629810491%
3869,300,0.00000108958501829580%
3839,301,0.00000109373713869243%
1180,302,0.00000109525934655423%
4322,303,0.00000109526114635897%
1054,304,0.00000110535071679861%
1007,305,0.00000110851279356802%
1390,306,0.00000110977480279523%
887,307,0.00000111105376100323%
970,308,0.00000111305121186706%
3632,309,0.00000111408248040524%
4799,310,0.00000112184504589270%
1031,311,0.00000112192796139795%
3141,312,0.00000112455328869855%
250,313,0.00000112524877997388%
3205,314,0.00000112942352937835%
890,315,0.00000113078664761143%
2774,316,0.00000113089818138770%
2608,317,0.00000113225352649179%
2295,318,0.00000114215966264993%
4502,319,0.00000114240365224636%
2695,320,0.00000114330623474830%
70,321,0.00000114664355130834%
1590,322,0.00000114913383430861%
13,323,0.00000115195493049455%
4417,324,0.00000115463847360120%
2728,325,0.00000115570139221829%
3460,326,0.00000115629474552002%
1289,327,0.00000115763865006202%
4463,328,0.00000116457521374827%
2865,329,0.00000116601186296655%
3700,330,0.00000116720529028419%
3380,331,0.00000116721955467831%
2732,332,0.00000117096692893227%
606,333,0.00000117198327742016%
1611,334,0.00000117302640523375%
3984,335,0.00000117437301585845%
2240,336,0.00000117788096829420%
3920,337,0.00000118058235475013%
4294,338,0.00000118179529620481%
420,339,0.00000118312718922440%
2830,340,0.00000118864262011974%
2984,341,0.00000119128676193251%
4731,342,0.00000119529546630540%
4084,343,0.00000119752232769497%
3311,344,0.00000119843553834390%
3190,345,0.00000119864346012074%
2123,346,0.00000120344078461512%
3598,347,0.00000120399848452417%
955,348,0.00000120473307225257%
68,349,0.00000120624663869221%
977,350,0.00000121129347665162%
3331,351,0.00000121152694357842%
3488,352,0.00000121764079216536%
1510,353,0.00000122007121450297%
1613,354,0.00000122008024217440%
1365,355,0.00000123372523122360%
2688,356,0.00000123438960782473%
3565,357,0.00000123706106314929%
4796,358,0.00000123734555494115%
2276,359,0.00000124084798268099%
2053,360,0.00000124195253260189%
4239,361,0.00000124578822661709%
63,362,0.00000124986123213123%
587,363,0.00000125088659661619%
3123,364,0.00000125189715690927%
4085,365,0.00000125285885136139%
4233,366,0.00000125777452597026%
1935,367,0.00000125800406838093%
873,368,0.00000126066412192758%
3117,369,0.00000126243669722714%
454,370,0.00000126252512515396%
373,371,0.00000126407732039996%
4864,372,0.00000126409463116324%
1991,373,0.00000126432693155919%
3242,374,0.00000126540032676616%
414,375,0.00000126544270555616%
475,376,0.00000126549278186774%
3673,377,0.00000126720822576317%
350,378,0.00000126727729001497%
1663,379,0.00000126954222449010%
2430,380,0.00000127442915848504%
3152,381,0.00000128784233197856%
2088,382,0.00000129027820188419%
3534,383,0.00000129432732763623%
1678,384,0.00000129558493493066%
1529,385,0.00000129962881948502%
3609,386,0.00000130157744203303%
2331,387,0.00000130614587490641%
2731,388,0.00000130619275241109%
3137,389,0.00000130766517980403%
4721,390,0.00000131046960859153%
3851,391,0.00000131482758449550%
3269,392,0.00000131743888345611%
3013,393,0.00000131860637640053%
1965,394,0.00000132298114670602%
635,395,0.00000132437853233362%
429,396,0.00000132528941988456%
3359,397,0.00000132580626638920%
298,398,0.00000132819720709379%
6,399,0.00000133941364284938%
4906,400,0.00000133997313257422%
3080,401,0.00000134045006000778%
2735,402,0.00000134609076998633%
476,403,0.00000135129806297705%
4304,404,0.00000135149552230360%
2372,405,0.00000135396188211989%
316,406,0.00000135636995599214%
3324,407,0.00000135751463430122%
1090,408,0.00000136296318986960%
2792,409,0.00000136406650484963%
673,410,0.00000136607864010999%
3463,411,0.00000137148567192757%
4629,412,0.00000137416178708723%
2899,413,0.00000137731054131004%
1272,414,0.00000137731834493671%
3505,415,0.00000137946306975160%
1047,416,0.00000137972701716940%
4207,417,0.00000138129027403195%
2547,418,0.00000138684029620409%
3605,419,0.00000138787354690500%
1805,420,0.00000138851495895011%
2057,421,0.00000139010846765068%
2707,422,0.00000139075165812444%
172,423,0.00000139760932979320%
2382,424,0.00000140140058081817%
4076,425,0.00000140202909062908%
4555,426,0.00000140354862455820%
4246,427,0.00000140452384026567%
2217,428,0.00000140735721629972%
2996,429,0.00000141157888244978%
4671,430,0.00000141202819659913%
4440,431,0.00000141275494757939%
992,432,0.00000141607541920076%
4048,433,0.00000141665062859143%
3435,434,0.00000141887837010215%
4893,435,0.00000141989677011600%
3628,436,0.00000142431378118760%
3539,437,0.00000142641059727121%
4686,438,0.00000142655014399133%
1503,439,0.00000142949016555946%
2906,440,0.00000142959685930356%
748,441,0.00000143371164290775%
4002,442,0.00000143549064827854%
1735,443,0.00000144299839181377%
4897,444,0.00000144605273175627%
1325,445,0.00000144797447637684%
2509,446,0.00000145084188132462%
4892,447,0.00000145400350928778%
4550,448,0.00000145430633542175%
1772,449,0.00000145450711832356%
368,450,0.00000145850923579164%
2437,451,0.00000146455183449098%
65,452,0.00000146498344773056%
4164,453,0.00000146782332649240%
1542,454,0.00000147119969287818%
2833,455,0.00000147345576836310%
933,456,0.00000147553228710293%
4071,457,0.00000147830566645069%
1109,458,0.00000147977219397041%
4299,459,0.00000148755852013954%
213,460,0.00000149216788646726%
2311,461,0.00000149517759191937%
1923,462,0.00000149655267547056%
2613,463,0.00000149676214384925%
2609,464,0.00000150347156364730%
3484,465,0.00000150386088442704%
2393,466,0.00000150932115564757%
1492,467,0.00000150939307947729%
1010,468,0.00000151057303266865%
3251,469,0.00000151528103198679%
3411,470,0.00000151643691607827%
3779,471,0.00000151932008054403%
4842,472,0.00000151967314505425%
3917,473,0.00000152145007742076%
2643,474,0.00000152154696469178%
273,475,0.00000152756552716108%
855,476,0.00000152792564244170%
1486,477,0.00000153163218296539%
1626,478,0.00000154059657499403%
866,479,0.00000154203401359015%
3509,480,0.00000154296506793996%
2363,481,0.00000154439549065216%
3249,482,0.00000154533538718284%
2910,483,0.00000154781250340366%
1264,484,0.00000154828094768313%
4432,485,0.00000155144376597410%
3367,486,0.00000155365900485012%
446,487,0.00000155463532363231%
367,488,0.00000155631204489379%
2377,489,0.00000155838955614724%
2517,490,0.00000155887840122243%
4541,491,0.00000155962676725156%
3132,492,0.00000156192837818831%
747,493,0.00000157156557889950%
186,494,0.00000157427304682256%
2711,495,0.00000157747687945832%
1812,496,0.00000157975508932985%
789,497,0.00000158154597974226%
1178,498,0.00000158467924766407%
2827,499,0.00000158679938179765%
2918,500,0.00000158944146867611%
1012,501,0.00000159012180559654%
1594,502,0.00000159045574597499%
3264,503,0.00000159491549679656%
149,504,0.00000160128390726947%
3286,505,0.00000160382145910175%
778,506,0.00000160440574635908%
4010,507,0.00000160494301875854%
3537,508,0.00000160606583087661%
511,509,0.00000160825488757419%
4521,510,0.00000161688913533760%
2886,511,0.00000161775510122189%
4716,512,0.00000161783890913243%
1153,513,0.00000161802089982853%
4123,514,0.00000162174633008665%
3083,515,0.00000162238857804374%
4516,516,0.00000162394002939627%
1835,517,0.00000162502712739297%
3845,518,0.00000162588269826262%
4667,519,0.00000162699503646756%
2020,520,0.00000163139895715600%
1839,521,0.00000163200425588334%
3021,522,0.00000163652994798507%
514,523,0.00000163795600944805%
2701,524,0.00000164603356593108%
1880,525,0.00000164667390971927%
4717,526,0.00000164992833377621%
2898,527,0.00000165139258245975%
3103,528,0.00000165375657797084%
4994,529,0.00000166356117451929%
654,530,0.00000166423057406426%
437,531,0.00000166529584465468%
4843,532,0.00000167044420647893%
2216,533,0.00000167517387373282%
1088,534,0.00000167553087549120%
1810,535,0.00000168429727683019%
2081,536,0.00000168537547044614%
945,537,0.00000168952174378658%
3175,538,0.00000168980411699325%
4811,539,0.00000169334892785545%
1649,540,0.00000169338064642524%
312,541,0.00000169573833576622%
4821,542,0.00000170175046978905%
4133,543,0.00000170234129063400%
1384,544,0.00000170235411912171%
817,545,0.00000170494129669963%
2420,546,0.00000170593482082573%
3689,547,0.00000170672886677630%
986,548,0.00000170691793935461%
3950,549,0.00000170707410675727%
766,550,0.00000171174827860037%
1893,551,0.00000171223591269795%
2404,552,0.00000171963703209011%
3740,553,0.00000172103555216707%
2634,554,0.00000172452425580350%
4844,555,0.00000172505536158986%
4410,556,0.00000173266459105091%
1575,557,0.00000173530201642472%
4815,558,0.00000173644379036057%
3606,559,0.00000173659399569746%
3065,560,0.00000173694966636721%
3927,561,0.00000173960551449274%
1400,562,0.00000174041358097104%
3688,563,0.00000174129263820980%
2112,564,0.00000174395367427166%
166,565,0.00000174430493653565%
2958,566,0.00000174506720839287%
2470,567,0.00000174568009847455%
4949,568,0.00000174588891818592%
1401,569,0.00000174880597603373%
356,570,0.00000175355577932732%
1825,571,0.00000175564482975669%
1209,572,0.00000175712781061445%
749,573,0.00000175964963474918%
3931,574,0.00000175989394877030%
2638,575,0.00000176310331243158%
3723,576,0.00000176567427405245%
2913,577,0.00000176616628796666%
4009,578,0.00000176622183374923%
4344,579,0.00000176848561548532%
178,580,0.00000176852969158493%
3196,581,0.00000177075545492503%
1745,582,0.00000177369825669863%
3284,583,0.00000177590445845594%
2582,584,0.00000177631838233442%
4231,585,0.00000177983892351817%
672,586,0.00000178031102399074%
2222,587,0.00000178392162646258%
925,588,0.00000179158175315680%
638,589,0.00000179190270920415%
3921,590,0.00000179543855319968%
4836,591,0.00000179575431316595%
88,592,0.00000179715882300739%
406,593,0.00000179771644646355%
1213,594,0.00000180125447879930%
2692,595,0.00000180204173994960%
1228,596,0.00000180250868340617%
2502,597,0.00000180324809919690%
4281,598,0.00000180759641849316%
2921,599,0.00000181790262447405%
2935,600,0.00000181863902371748%
3535,601,0.00000182112142227085%
4895,602,0.00000182753625141841%
4465,603,0.00000183354800526470%
816,604,0.00000183545007698032%
1691,605,0.00000183640600891737%
3072,606,0.00000183768205317423%
1975,607,0.00000185133440234274%
4976,608,0.00000185138478444217%
3295,609,0.00000185428899420672%
4020,610,0.00000185510239463490%
2556,611,0.00000185595225878378%
1990,612,0.00000185695389350239%
1840,613,0.00000186234454050766%
4323,614,0.00000186235926813938%
875,615,0.00000186248678093955%
2559,616,0.00000186333228360751%
4675,617,0.00000186374541914432%
1656,618,0.00000186823432702306%
2861,619,0.00000186928968119381%
3545,620,0.00000187247403381259%
2245,621,0.00000187397217924670%
744,622,0.00000187566578145623%
2902,623,0.00000187747133255594%
1738,624,0.00000187831927370230%
4835,625,0.00000187834119471629%
3030,626,0.00000188102153438937%
1884,627,0.00000188158547120366%
721,628,0.00000188306726288192%
1364,629,0.00000188455315363544%
1912,630,0.00000188637931783784%
4919,631,0.00000188688508341149%
1419,632,0.00000188773049409626%
4826,633,0.00000189145399479064%
2264,634,0.00000189602614272299%
1774,635,0.00000189646447959565%
1538,636,0.00000189753702345202%
2031,637,0.00000190039023534366%
1468,638,0.00000190130926914859%
3512,639,0.00000190824908720760%
4871,640,0.00000190958706174812%
248,641,0.00000191067550604543%
3929,642,0.00000191408654343690%
4196,643,0.00000191681173759358%
4689,644,0.00000191864909042437%
1665,645,0.00000192043345318655%
182,646,0.00000192308070760807%
3663,647,0.00000192398508533594%
200,648,0.00000192578572958185%
156,649,0.00000192612702287651%
317,650,0.00000192797506385002%
1162,651,0.00000193310320971062%
4116,652,0.00000193422795862351%
3276,653,0.00000193645772551293%
1695,654,0.00000194023713360178%
4982,655,0.00000194415782571677%
3916,656,0.00000194433890563243%
1940,657,0.00000194449116340036%
3208,658,0.00000194601703429662%
2131,659,0.00000194713890747305%
3752,660,0.00000195376157997438%
1195,661,0.00000195526853941414%
2139,662,0.00000195535203485759%
1547,663,0.00000195925427389170%
1551,664,0.00000196588128888442%
419,665,0.00000196702888327115%
1336,666,0.00000196974626714007%
3541,667,0.00000197619724182030%
3450,668,0.00000198085668700428%
1438,669,0.00000198117368250038%
2496,670,0.00000198175981139399%
4816,671,0.00000198241987439275%
1447,672,0.00000198591649848917%
543,673,0.00000198734859317610%
2022,674,0.00000198791093725704%
668,675,0.00000199694495996209%
942,676,0.00000199879728751313%
1512,677,0.00000199958182642467%
2773,678,0.00000199964843464538%
1751,679,0.00000200088326096766%
183,680,0.00000200334396567637%
3654,681,0.00000200452169197940%
3195,682,0.00000200453482790433%
3082,683,0.00000201173685984195%
1918,684,0.00000201298251316423%
3497,685,0.00000201501760082709%
1339,686,0.00000201714165129795%
2650,687,0.00000201726261143374%
2497,688,0.00000201877406232977%
2611,689,0.00000202417803259897%
80,690,0.00000202462369803495%
3433,691,0.00000202610011437974%
3858,692,0.00000202806097244911%
4317,693,0.00000202887630458020%
3764,694,0.00000203912851260010%
3352,695,0.00000204171885475787%
4029,696,0.00000204338075092888%
703,697,0.00000204384134610022%
2320,698,0.00000205073664697176%
2962,699,0.00000205195049060168%
4601,700,0.00000206118932846255%
4538,701,0.00000206193473661826%
1970,702,0.00000206416704184162%
4676,703,0.00000206506772220552%
2712,704,0.00000206766569178627%
3719,705,0.00000206776258869376%
2329,706,0.00000206938906215439%
3641,707,0.00000206981285192368%
490,708,0.00000207099009116059%
769,709,0.00000207183989062769%
433,710,0.00000207232104943157%
4310,711,0.00000207554051296385%
2515,712,0.00000207781968985056%
4261,713,0.00000208085347468935%
3061,714,0.00000208275771031020%
3608,715,0.00000208303486325347%
1671,716,0.00000208334772599428%
1246,717,0.00000208558367832326%
4765,718,0.00000208724825207052%
3698,719,0.00000208737913021446%
3410,720,0.00000209041197476490%
3857,721,0.00000209153654822740%
3476,722,0.00000209491606191802%
3952,723,0.00000209741019837663%
143,724,0.00000210383719951879%
3185,725,0.00000210595375458087%
1266,726,0.00000210716713096190%
571,727,0.00000210939044290961%
550,728,0.00000211447242975131%
1211,729,0.00000211452717183283%
3102,730,0.00000211465188210365%
1717,731,0.00000211917078735669%
2686,732,0.00000211987669121723%
517,733,0.00000212363112230334%
60,734,0.00000212503962989994%
3655,735,0.00000212796881695171%
4437,736,0.00000212993437601583%
1943,737,0.00000213125299671523%
3928,738,0.00000213205349695173%
2140,739,0.00000213444625738053%
782,740,0.00000213762617661984%
4865,741,0.00000213880867412089%
603,742,0.00000214812936745156%
4852,743,0.00000214824384007929%
526,744,0.00000214867595601772%
49,745,0.00000215170446630360%
1878,746,0.00000215807780712051%
279,747,0.00000215936971757834%
771,748,0.00000215985703228819%
2006,749,0.00000216009086646311%
1686,750,0.00000216012736436588%
83,751,0.00000216344129398048%
2544,752,0.00000216761784197706%
3816,753,0.00000217055706996051%
664,754,0.00000217252290668215%
3977,755,0.00000217267684388379%
2920,756,0.00000217569916976350%
738,757,0.00000217702848457806%
132,758,0.00000217710436147009%
3000,759,0.00000217858219856291%
3294,760,0.00000217960179518596%
1011,761,0.00000218275327880932%
3345,762,0.00000218877854369809%
4171,763,0.00000219331035041087%
441,764,0.00000219565919924716%
1278,765,0.00000219579099750447%
4484,766,0.00000219651241852202%
3027,767,0.00000219822537336161%
4102,768,0.00000220144104348647%
3155,769,0.00000220186611790094%
1148,770,0.00000220429425617704%
137,771,0.00000221091077634654%
3046,772,0.00000221359429340475%
592,773,0.00000221378041666981%
232,774,0.00000221496375929793%
26,775,0.00000221916168245687%
563,776,0.00000221996097717698%
3211,777,0.00000222378591507647%
1771,778,0.00000222783989212947%
4513,779,0.00000222921537276172%
2951,780,0.00000223218186069547%
37,781,0.00000223685152382073%
1864,782,0.00000223835036343799%
4706,783,0.00000224156927511422%
1866,784,0.00000224321423241319%
2528,785,0.00000224452160801858%
1334,786,0.00000224639899598068%
1217,787,0.00000224901950722618%
246,788,0.00000224926143318214%
2062,789,0.00000225036237056733%
1927,790,0.00000225081826103228%
700,791,0.00000225140880936293%
2330,792,0.00000226314281915553%
3320,793,0.00000226328687424557%
3813,794,0.00000226356253053792%
233,795,0.00000226402654621492%
2583,796,0.00000226417885434761%
3108,797,0.00000226810043250198%
676,798,0.00000227012154101111%
2685,799,0.00000227792175859401%
1789,800,0.00000227904877379483%
4868,801,0.00000227968900393617%
621,802,0.00000228126558724608%
4391,803,0.00000228151883699854%
2257,804,0.00000228586462885205%
2273,805,0.00000229459082953488%
3296,806,0.00000229496633069744%
1282,807,0.00000230212739752391%
4425,808,0.00000230232793083547%
1807,809,0.00000230234788356272%
4971,810,0.00000230348428991001%
239,811,0.00000230408024943183%
1397,812,0.00000230698484701191%
3198,813,0.00000230902981375207%
609,814,0.00000231476342347310%
69,815,0.00000231551477296692%
1610,816,0.00000231789295640858%
141,817,0.00000232046859359490%
3542,818,0.00000232539716074403%
3202,819,0.00000233163130926375%
2227,820,0.00000233270936926894%
2545,821,0.00000233642727000566%
4829,822,0.00000233802416455666%
4496,823,0.00000233833487187745%
17,824,0.00000233912216896061%
2150,825,0.00000233949905783404%
4226,826,0.00000234202308693415%
3048,827,0.00000234273662324175%
3964,828,0.00000234752022987967%
3743,829,0.00000234851853945755%
1184,830,0.00000235140394008662%
4428,831,0.00000235145189867865%
2521,832,0.00000235474244098733%
1704,833,0.00000235495002664777%
3321,834,0.00000235894070613343%
4979,835,0.00000235900828335953%
503,836,0.00000236120494585084%
2458,837,0.00000236152435674923%
3836,838,0.00000236172381287365%
291,839,0.00000236371571817570%
1944,840,0.00000236391394165420%
1104,841,0.00000236768879330680%
2709,842,0.00000236846897396675%
2574,843,0.00000236929313352089%
3538,844,0.00000236969400649515%
524,845,0.00000237423805672729%
3959,846,0.00000237640393210454%
4152,847,0.00000237808027231324%
2037,848,0.00000237986594663872%
1962,849,0.00000238227685425909%
3808,850,0.00000238426517548559%
885,851,0.00000239107265286594%
1606,852,0.00000239372626503848%
4021,853,0.00000239925402196368%
560,854,0.00000240288704213387%
842,855,0.00000240406827852049%
277,856,0.00000240621665829109%
2999,857,0.00000241041561081745%
1355,858,0.00000241315553345206%
3039,859,0.00000241897192028341%
1080,860,0.00000242880422710119%
4532,861,0.00000243170450980711%
3592,862,0.00000243278749873534%
1296,863,0.00000243288935608641%
1846,864,0.00000243313558783903%
576,865,0.00000243347067778441%
1065,866,0.00000243606077959783%
4359,867,0.00000243652155821375%
1171,868,0.00000243871843786437%
3960,869,0.00000244039151404773%
1682,870,0.00000244402958514355%
3844,871,0.00000244748294389799%
2186,872,0.00000244924720185637%
3510,873,0.00000244935981180599%
1295,874,0.00000245090738075666%
4329,875,0.00000245639742410808%
688,876,0.00000245797454067919%
4523,877,0.00000245894815727319%
828,878,0.00000245945165537937%
949,879,0.00000246230420003674%
1001,880,0.00000246250150902697%
642,881,0.00000246384382621518%
836,882,0.00000246468429667473%
3337,883,0.00000246678462872918%
145,884,0.00000246838919942871%
